bin,Sample,Museum,Species,Sex,Age,Year,Country,Region,Oral.health,GenomeBin,Specific lineage dataset,%Complete (specific),%Complete and single-copy (specific),%Complete and duplicated (specific),%Fragmented (specific),%Missing (specific),Total number (specific),Assembly,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp,# predicted rRNA genes,DepthSum,bin_type,bin_path,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,classification,closest_genome_reference,closest_genome_reference_radius,closest_genome_taxonomy,closest_genome_ani,closest_genome_af,closest_placement_reference,closest_placement_radius,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,pplacer_taxonomy,classification_method,note,other_related_references(genome_id;species_name;radius;ANI;AF),msa_percent,translation_table,red_value,warnings
MEGAHIT-MetaBAT2Refined-RM_086.15.fa.gz,RM_086,RMCA,Piliocolobus foai,male,M3,1981,Congo (DR),,,MEGAHIT-MetaBAT2Refined-RM_086.15.fa.gz,bacteria_odb10,79.8,79.0,0.8,3.2,17.0,124,MEGAHIT-MetaBAT2Refined-RM_086.15.fa.gz,415,415,263,154,24,0,4069252,4069252,3590147,2818923,796578,0,415,46156,4069252,43.06,14726,8544,90,180,0.0,0 + 0 part,17,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-RM_086.15.fa.gz,p__Bacteroidetes (UID2605),350,316,210,31,274,9,2,0,0,96.77,4.66,13.33,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__ZOR0009;g__Acetobacteroides;s__Acetobacteroides sp000798815,GCF_000798815.1,95.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__ZOR0009;g__Acetobacteroides;s__Acetobacteroides sp000798815,97.86,0.848,,,,,,,ani_screen,classification based on ANI only,,,,,
MEGAHIT-MetaBAT2Refined-RM_086.2.fa.gz,RM_086,RMCA,Piliocolobus foai,male,M3,1981,Congo (DR),,,MEGAHIT-MetaBAT2Refined-RM_086.2.fa.gz,bacteria_odb10,90.3,90.3,0.0,5.6,4.1,124,MEGAHIT-MetaBAT2Refined-RM_086.2.fa.gz,221,221,170,101,26,5,2935107,2935107,2759716,2260809,1079056,407324,221,111093,2935107,57.79,19552,10616,44,96,0.0,0 + 0 part,23,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-RM_086.2.fa.gz,o__Actinomycetales (UID1809),267,400,222,13,383,4,0,0,0,97.09,0.26,25.0,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__,,,,,,GCF_030408675.1,95.0,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium durum,87.39,0.643,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,,91.44,11.0,0.99182,Genome not assigned to closest species as it.fa.gzlls outside its pre-defined ANI radius
MEGAHIT-MetaBAT2Refined-RM_086.5.fa.gz,RM_086,RMCA,Piliocolobus foai,male,M3,1981,Congo (DR),,,MEGAHIT-MetaBAT2Refined-RM_086.5.fa.gz,bacteria_odb10,99.2,99.2,0.0,0.8,0.0,124,MEGAHIT-MetaBAT2Refined-RM_086.5.fa.gz,24,24,24,23,20,14,2404659,2404659,2404659,2394973,2348125,2116183,24,416816,2404659,54.76,206694,72068,4,9,0.0,0 + 0 part,83,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-RM_086.5.fa.gz,o__Burkholderiales (UID4000),193,427,214,14,405,8,0,0,0,96.38,1.65,0.0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__QZKY01;s__,,,,,,,,,,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__QZKY01;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,97.38,11.0,0.9439,
MEGAHIT-MetaBAT2Refined-RM_033.2.fa.gz,RM_033,RMCA,Cephalophus silvicultor,?,M3,1979,Congo (DR),,,MEGAHIT-MetaBAT2Refined-RM_033.2.fa.gz,bacteria_odb10,96.0,95.2,0.8,4.0,0.0,124,MEGAHIT-MetaBAT2Refined-RM_033.2.fa.gz,123,123,102,83,43,19,3195713,3195713,3134414,2983882,2364996,1558551,123,148592,3195713,63.54,45730,23373,20,45,0.0,1 + 0 part,106,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-RM_033.2.fa.gz,o__Actinomycetales (UID1697),387,327,191,10,308,9,0,0,0,95.38,1.9,22.22,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia;s__,,,,,,,,,,,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,92.59,11.0,0.9631,
MEGAHIT-MaxBin2Refined-DM_016.001.fa.gz,DM_016,Adametz collection,Sus scrofa domesticus,male,,<1940,,,,MEGAHIT-MaxBin2Refined-DM_016.001.fa.gz,bacteria_odb10,89.5,87.9,1.6,3.2,7.3,124,MEGAHIT-MaxBin2Refined-DM_016.001.fa.gz,152,152,81,67,28,11,2219505,2219505,2061575,1967393,1381851,811500,152,111524,2219505,49.79,31897,16471,19,43,0.0,3 + 1 part,105,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-DM_016.001.fa.gz,o__Clostridiales (UID1120),304,247,141,6,239,2,0,0,0,95.74,0.73,50.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RGIG2439;s__,,,,,,,,,,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RGIG2439;s__,taxonomic novelty determined using RED,classification based on placement in class-level tree,,93.05,11.0,0.9361,
MEGAHIT-MaxBin2Refined-DM_016.002.fa.gz,DM_016,Adametz collection,Sus scrofa domesticus,male,,<1940,,,,MEGAHIT-MaxBin2Refined-DM_016.002.fa.gz,bacteria_odb10,88.7,87.1,1.6,1.6,9.7,124,MEGAHIT-MaxBin2Refined-DM_016.002.fa.gz,114,114,83,67,34,11,2401624,2401624,2327706,2214017,1706187,856451,114,140514,2401624,57.14,39540,20386,19,39,0.0,1 + 1 part,90,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-DM_016.002.fa.gz,k__Bacteria (UID209),5443,105,59,1,104,0,0,0,0,98.31,0.0,0.0,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Synergistes;s__Synergistes jonesii,GCF_000712295.1,95.0,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Synergistes;s__Synergistes jonesii,97.57,0.871,,,,,,,ani_screen,classification based on ANI only,,,,,
MEGAHIT-MaxBin2Refined-DM_016.003_sub.fa.gz,DM_016,Adametz collection,Sus scrofa domesticus,male,,<1940,,,,MEGAHIT-MaxBin2Refined-DM_016.003_sub.fa.gz,bacteria_odb10,66.9,65.3,1.6,13.7,19.4,124,MEGAHIT-MaxBin2Refined-DM_016.003_sub.fa.gz,817,817,86,13,0,0,2196318,2196318,610561,150871,0,0,817,16238,2196318,65.35,3253,1958,208,427,0.0,0 + 0 part,69,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-DM_016.003_sub.fa.gz,k__Bacteria (UID209),5443,105,59,7,90,8,0,0,0,90.34,4.7,25.0,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__CAJPSE01;s__,,,,,,,,,,,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__CAJPSE01;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCF_938040765.1; s__CAJPSE01 sp938040765; 95.0; 88.31; 0.253; GCA_905373185.1; s__CAJPSE01 sp905373185; 95.0; 86.94; 0.155; GCF_003860125.1; s__CAJPSE01 sp003860125; 95.0; 86.82; 0.215,70.96,11.0,0.92525,
MEGAHIT-MaxBin2Refined-DM_016.004_sub.fa.gz,DM_016,Adametz collection,Sus scrofa domesticus,male,,<1940,,,,MEGAHIT-MaxBin2Refined-DM_016.004_sub.fa.gz,bacteria_odb10,91.9,91.9,0.0,6.5,1.6,124,MEGAHIT-MaxBin2Refined-DM_016.004_sub.fa.gz,389,389,203,124,29,1,3511101,3511101,3048119,2482501,961329,72873,389,72873,3511101,47.11,16593,8463,69,141,0.0,3 + 1 part,58,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-DM_016.004_sub.fa.gz,k__Bacteria (UID2570),433,273,183,8,260,5,0,0,0,96.17,1.96,20.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Petrimonas;s__,,,,,,GCA_002356435.2,95.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Petrimonas;s__Petrimonas sp002356435,89.43,0.451,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Petrimonas;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCA_022840285.1; s__Petrimonas sp022840285; 95.0; 86.59; 0.339,93.09,11.0,0.99449,
MEGAHIT-MaxBin2Refined-DM_016.006.fa.gz,DM_016,Adametz collection,Sus scrofa domesticus,male,,<1940,,,,MEGAHIT-MaxBin2Refined-DM_016.006.fa.gz,bacteria_odb10,91.9,89.5,2.4,4.0,4.1,124,MEGAHIT-MaxBin2Refined-DM_016.006.fa.gz,161,161,90,56,20,1,1693617,1693617,1533822,1284997,708866,50735,161,50735,1693617,56.02,19875,10215,27,55,0.0,1 + 0 part,55,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-DM_016.006.fa.gz,o__Clostridiales (UID1120),304,247,141,2,238,7,0,0,0,98.58,3.69,28.57,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Mogibacterium;s__,,,,,,,,,,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Mogibacterium;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,92.57,11.0,0.9407,
MEGAHIT-MaxBin2Refined-DM_016.009_sub.fa.gz,DM_016,Adametz collection,Sus scrofa domesticus,male,,<1940,,,,MEGAHIT-MaxBin2Refined-DM_016.009_sub.fa.gz,bacteria_odb10,90.3,89.5,0.8,8.1,1.6,124,MEGAHIT-MaxBin2Refined-DM_016.009_sub.fa.gz,457,457,198,100,13,0,2997937,2997937,2366703,1683042,405562,0,457,44010,2997937,48.73,11183,5502,83,176,0.0,1 + 0 part,35,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-DM_016.009_sub.fa.gz,k__Bacteria (UID2569),434,278,186,14,256,8,0,0,0,93.46,3.6,37.5,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__Limimorpha;s__,,,,,,,,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__Limimorpha;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,90.05,11.0,0.98179,
MEGAHIT-MetaBAT2Refined-DM_016.11.fa.gz,DM_016,Adametz collection,Sus scrofa domesticus,male,,<1940,,,,MEGAHIT-MetaBAT2Refined-DM_016.11.fa.gz,bacteria_odb10,91.9,91.9,0.0,6.5,1.6,124,MEGAHIT-MetaBAT2Refined-DM_016.11.fa.gz,351,351,156,46,3,0,2010389,2010389,1429307,678176,81605,0,351,30418,2010389,35.3,7207,4546,85,173,0.0,0 + 0 part,32,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_016.11.fa.gz,o__Clostridiales (UID1226),155,277,157,18,256,3,0,0,0,91.51,0.98,66.67,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Johnsonella;s__,,,,,,,,,,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Johnsonella;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCA_900766185.1; s__Johnsonella sp900766185; 95.0; 83.91; 0.258; GCA_905373785.1; s__Johnsonella sp905373785; 95.0; 83.23; 0.202,90.43,11.0,0.97609,
MEGAHIT-MetaBAT2Refined-DM_016.21.fa.gz,DM_016,Adametz collection,Sus scrofa domesticus,male,,<1940,,,,MEGAHIT-MetaBAT2Refined-DM_016.21.fa.gz,bacteria_odb10,83.1,82.3,0.8,6.5,10.4,124,MEGAHIT-MetaBAT2Refined-DM_016.21.fa.gz,121,121,92,78,28,8,2205711,2205711,2116132,2019358,1199588,541098,121,94838,2205711,58.48,26881,17218,25,51,0.0,1 + 0 part,37,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_016.21.fa.gz,k__Bacteria (UID209),5443,105,59,3,101,1,0,0,0,94.92,0.85,100.0,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__;s__,,,,,,,,,,,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,88.32,11.0,0.80116,
MEGAHIT-MetaBAT2Refined-DM_016.23.fa.gz,DM_016,Adametz collection,Sus scrofa domesticus,male,,<1940,,,,MEGAHIT-MetaBAT2Refined-DM_016.23.fa.gz,bacteria_odb10,20.2,19.4,0.8,8.9,70.9,124,MEGAHIT-MetaBAT2Refined-DM_016.23.fa.gz,103,103,79,58,28,1,1714619,1714619,1636952,1498660,1015488,66448,103,66448,1714619,53.3,28149,15140,23,42,0.0,0 + 0 part,40,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_016.23.fa.gz,p__Euryarchaeota (UID49),95,228,153,14,214,0,0,0,0,91.5,0.0,0.0,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanimicrococcus;s__,,,,,,,,,,,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanimicrococcus;s__,taxonomic classification fully defined by topology,,,95.21,11.0,0.93163,
MEGAHIT-MetaBAT2Refined-DM_016.3.fa.gz,DM_016,Adametz collection,Sus scrofa domesticus,male,,<1940,,,,MEGAHIT-MetaBAT2Refined-DM_016.3.fa.gz,bacteria_odb10,74.2,73.4,0.8,13.7,12.1,124,MEGAHIT-MetaBAT2Refined-DM_016.3.fa.gz,302,302,164,79,10,0,2379775,2379775,1950352,1353405,308843,0,302,42995,2379775,62.43,11346,6386,64,135,0.0,0 + 0 part,25,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_016.3.fa.gz,p__Actinobacteria (UID2112),31,211,124,26,176,8,1,0,0,91.86,3.38,9.09,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__RUG721;s__,,,,,,GCA_004010535.1,95.0,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__RUG721;s__RUG721 sp004010535,92.1,0.685,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__RUG721;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCA_029546925.1; s__RUG721 sp029546925; 95.0; 89.2; 0.56,83.0,11.0,0.98993,Genome not assigned to closest species as it.fa.gzlls outside its pre-defined ANI radius
MEGAHIT-MetaBAT2Refined-DM_016.9.fa.gz,DM_016,Adametz collection,Sus scrofa domesticus,male,,<1940,,,,MEGAHIT-MetaBAT2Refined-DM_016.9.fa.gz,bacteria_odb10,16.9,16.9,0.0,12.1,71.0,124,MEGAHIT-MetaBAT2Refined-DM_016.9.fa.gz,75,75,63,49,23,4,1579916,1579916,1537772,1439342,1001592,302670,75,89591,1579916,57.5,33722,19903,16,32,0.0,1 + 2 part,37,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_016.9.fa.gz,p__Euryarchaeota (UID3),148,187,124,7,180,0,0,0,0,95.97,0.0,0.0,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__,,,,,,GCA_002503545.1,95.0,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp002503545,88.86,0.742,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__,taxonomic classification defined by topology and ANI,,GCF_000300255.2; s__Methanomethylophilus alvus; 95.0; 83.27; 0.338,92.59,11.0,0.98685,Genome not assigned to closest species as it.fa.gzlls outside its pre-defined ANI radius
MEGAHIT-MetaBAT2Refined-MS_122.3.fa.gz,MS_122,NMS,Equus caballus,,,,,,,MEGAHIT-MetaBAT2Refined-MS_122.3.fa.gz,bacteria_odb10,86.3,86.3,0.0,9.7,4.0,124,MEGAHIT-MetaBAT2Refined-MS_122.3.fa.gz,218,218,157,97,31,2,2660857,2660857,2489229,2045091,1020126,134314,218,68235,2660857,70.1,19871,10351,45,93,0.0,1 + 0 part,75,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-MS_122.3.fa.gz,f__Actinomycetaceae (UID1531),42,420,211,14,397,9,0,0,0,96.94,2.73,66.67,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__,,,,,,GCF_000220835.1,95.0,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835,81.54,0.194,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCF_000711965.1; s__Actinomyces israelii; 95.0; 82.0; 0.196; GCF_000429265.1; s__Actinomyces gerencseriae; 95.0; 81.16; 0.156,85.64,11.0,0.9781,
MEGAHIT-MetaBAT2Refined-MS_122.5.fa.gz,MS_122,NMS,Equus caballus,,,,,,,MEGAHIT-MetaBAT2Refined-MS_122.5.fa.gz,bacteria_odb10,96.8,96.8,0.0,1.6,1.6,124,MEGAHIT-MetaBAT2Refined-MS_122.5.fa.gz,165,165,132,90,27,6,2618288,2618288,2510140,2193806,1105373,374716,165,75025,2618288,71.74,23111,14353,36,72,0.0,0 + 0 part,148,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-MS_122.5.fa.gz,o__Actinomycetales (UID1530),622,258,152,6,247,5,0,0,0,96.98,1.43,20.0,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__,,,,,,GCF_000426605.1,95.0,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__Propionibacterium acid.fa.gzciens,94.25,0.817,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCF_003666605.1; s__Propionibacterium australiense; 95.0; 85.63; 0.442; GCF_900289195.1; s__Propionibacterium ruminifibrarum; 95.0; 85.36; 0.412,97.0,11.0,0.99263,Genome not assigned to closest species as it.fa.gzlls outside its pre-defined ANI radius
MEGAHIT-MaxBin2Refined-MS_018.002.fa.gz,MS_018,NMS,Meles meles,,,,,,,MEGAHIT-MaxBin2Refined-MS_018.002.fa.gz,bacteria_odb10,87.9,87.9,0.0,10.5,1.6,124,MEGAHIT-MaxBin2Refined-MS_018.002.fa.gz,295,295,180,100,22,1,2811898,2811898,2484310,1910736,727935,59073,295,59073,2811898,60.29,14825,8350,58,123,0.0,1 + 0 part,59,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-MS_018.002.fa.gz,o__Actinomycetales (UID1809),267,400,222,14,372,14,0,0,0,96.05,2.45,35.71,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__,,,,,,GCF_030532715.1,95.0,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp030532715,82.08,0.204,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCF_030408595.1; s__Corynebacterium canis; 95.0; 82.65; 0.243,89.97,11.0,0.98956,
MEGAHIT-MetaBAT2Refined-MS_018.20.fa.gz,MS_018,NMS,Meles meles,,,,,,,MEGAHIT-MetaBAT2Refined-MS_018.20.fa.gz,bacteria_odb10,86.3,85.5,0.8,8.1,5.6,124,MEGAHIT-MetaBAT2Refined-MS_018.20.fa.gz,519,519,168,33,0,0,2344736,2344736,1370739,429221,0,0,519,18558,2344736,49.5,5898,3447,132,264,0.0,0 + 0 part,18,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-MS_018.20.fa.gz,o__Clostridiales (UID1120),304,250,143,24,221,5,0,0,0,90.5,3.03,60.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Fil.fa.gzctoraceae;g__JAUMYL01;s__,,,,,,GCA_030528675.1,95.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Fil.fa.gzctoraceae;g__JAUMYL01;s__JAUMYL01 sp030528675,92.9,0.704,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Fil.fa.gzctoraceae;g__JAUMYL01;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,,84.49,11.0,0.98693,Genome not assigned to closest species as it.fa.gzlls outside its pre-defined ANI radius
MEGAHIT-MaxBin2Refined-MV_286.001.fa.gz,MV_286,NHM Vienna,Ovis ammon,female,,1900,Kyrgyzstan,Tjan Shan,,MEGAHIT-MaxBin2Refined-MV_286.001.fa.gz,bacteria_odb10,98.4,98.4,0.0,0.8,0.8,124,MEGAHIT-MaxBin2Refined-MV_286.001.fa.gz,423,423,188,78,6,0,2549555,2549555,1967233,1181126,173618,0,423,37797,2549555,47.69,9370,5298,88,178,0.0,0 + 0 part,54,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-MV_286.001.fa.gz,f__Pasteurellaceae (UID4932),83,767,440,8,754,5,0,0,0,98.86,0.82,20.0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__;s__,,,,,,,,,,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,97.87,11.0,0.96298,
MEGAHIT-MaxBin2Refined-MV_130.006.fa.gz,MV_130,NHM Vienna,Rupicapra rupicapra,male,,1933,Austria,,,MEGAHIT-MaxBin2Refined-MV_130.006.fa.gz,bacteria_odb10,96.0,94.4,1.6,3.2,0.8,124,MEGAHIT-MaxBin2Refined-MV_130.006.fa.gz,243,243,150,88,20,4,2561801,2561801,2308210,1872789,781467,283211,243,96734,2561801,45.56,17967,9296,44,94,0.0,1 + 0 part,23,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-MV_130.006.fa.gz,c__Gammaproteobacteria (UID4387),965,277,177,4,266,7,0,0,0,98.59,2.73,14.29,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Basfia_A;s__,,,,,,GCF_014843355.1,95.0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Basfia_A;s__Basfia_A sp014843355,86.05,0.51,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Basfia_A;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCA_000017245.1; s__Basfia_A succinogenes; 95.0; 85.79; 0.528,93.17,11.0,0.98883,Genome not assigned to closest species as it.fa.gzlls outside its pre-defined ANI radius
